week_ending,month,week_of_month,week_of_year,store,concept,sales,group_meal,guest_count
3/26/2017,Mar,4,12,620,Rudys,127014,13668.76,6126
3/26/2017,Mar,4,12,Round Rock,Rudys,221115,20804.46,10878
3/26/2017,Mar,4,12,183,Rudys,226097,29781.67,10935
3/26/2017,Mar,4,12,360,Rudys,234876,61314.22,9220
4/2/2017,Mar,5,13,MF1,Mighty Fine,57314,0,5893
4/2/2017,Mar,5,13,MF2,Mighty Fine,50810,0,5296
4/2/2017,Mar,5,13,MF3,Mighty Fine,52535,0,5463
4/2/2017,Mar,5,13,MF4,Mighty Fine,58323,0,6214
4/2/2017,Mar,5,13,MFT1,Mighty Fine,0,0,0
4/2/2017,Mar,5,13,MFT2,Mighty Fine,22100,0,2252
4/2/2017,Mar,5,13,Lamar,Rudys,0,0,0
4/2/2017,Mar,5,13,620,Rudys,123964,12427.31,5939
4/2/2017,Mar,5,13,Round Rock,Rudys,219367,22265.2,10539
4/2/2017,Mar,5,13,360,Rudys,202788,35794.37,8960
4/2/2017,Mar,5,13,183,Rudys,235938,45244.87,10624
4/9/2017,Apr,1,14,MF1,Mighty Fine,58840,0,6107
4/9/2017,Apr,1,14,MF2,Mighty Fine,50106,0,5240
4/9/2017,Apr,1,14,MF3,Mighty Fine,57549,0,6070
4/9/2017,Apr,1,14,MF4,Mighty Fine,59999,0,6450
4/9/2017,Apr,1,14,MFT1,Mighty Fine,9986,0,632
4/9/2017,Apr,1,14,MFT2,Mighty Fine,21433,0,2209
4/9/2017,Apr,1,14,Lamar,Rudys,0,0,0
4/9/2017,Apr,1,14,620,Rudys,131068,16556.01,6167
4/9/2017,Apr,1,14,Round Rock,Rudys,227078,31164.12,10569
4/9/2017,Apr,1,14,360,Rudys,218555,37481.59,9723
4/9/2017,Apr,1,14,183,Rudys,248727,49335.02,11090
4/16/2017,Apr,2,15,MF1,Mighty Fine,54073,0,5522
4/16/2017,Apr,2,15,MF2,Mighty Fine,48242,0,5059
4/16/2017,Apr,2,15,MF3,Mighty Fine,53322,0,5634
4/16/2017,Apr,2,15,MF4,Mighty Fine,55250,0,5934
4/16/2017,Apr,2,15,MFT1,Mighty Fine,1787,0,112
4/16/2017,Apr,2,15,MFT2,Mighty Fine,19286,0,1976
4/16/2017,Apr,2,15,Lamar,Rudys,0,0,0
4/16/2017,Apr,2,15,620,Rudys,130901,16132.73,6199
4/16/2017,Apr,2,15,Round Rock,Rudys,244354,35057.32,11414
4/16/2017,Apr,2,15,360,Rudys,227615,43653.14,9941
4/16/2017,Apr,2,15,183,Rudys,251536,48809.73,11298
4/23/2017,Apr,3,16,MF1,Mighty Fine,61864,0,6375
4/23/2017,Apr,3,16,MF2,Mighty Fine,52075,0,5484
4/23/2017,Apr,3,16,MF3,Mighty Fine,54335,0,5733
4/23/2017,Apr,3,16,MF4,Mighty Fine,56071,0,6095
4/23/2017,Apr,3,16,MFT1,Mighty Fine,3998,0,249
4/23/2017,Apr,3,16,MFT2,Mighty Fine,20951,0,2166
4/23/2017,Apr,3,16,Lamar,Rudys,0,0,0
4/23/2017,Apr,3,16,620,Rudys,123731,13919.81,5970
4/23/2017,Apr,3,16,Round Rock,Rudys,221619,24845.74,10603
4/23/2017,Apr,3,16,360,Rudys,215662,49350.17,8734
4/23/2017,Apr,3,16,183,Rudys,243097,53886.22,10635
4/30/2017,Apr,4,17,MF1,Mighty Fine,59309,0,6031
4/30/2017,Apr,4,17,MF2,Mighty Fine,51820,0,5432
4/30/2017,Apr,4,17,MF3,Mighty Fine,55950,0,5793
4/30/2017,Apr,4,17,MF4,Mighty Fine,56767,0,6164
4/30/2017,Apr,4,17,MFT1,Mighty Fine,0,0,0
4/30/2017,Apr,4,17,MFT2,Mighty Fine,19855,0,999
4/30/2017,Apr,4,17,Lamar,Rudys,0,0,0
4/30/2017,Apr,4,17,620,Rudys,129220,22543.49,5760
4/30/2017,Apr,4,17,Round Rock,Rudys,223481,31872.91,10198
